exp,popSize,numPadres,ARI
0,50,10,0.6116333331302658
1,50,20,0.41239022422675686
2,50,30,0.31504753043723105
3,100,10,0.6085657187906789
4,100,20,0.45713639448088667
5,100,30,0.8266871259406885
6,150,20,0.7212322025712661
7,150,30,0.8562840158439603
8,200,20,0.8320823622249546
9,200,40,0.910909458292768
