seed,iter,media,mejor
20628,0,9896.038288145575,9004.883374349445
20628,1,9911.388288257058,8903.667786439186
20628,2,9908.555595450018,8903.667786439186
20628,3,9890.548059807004,8903.667786439186
20628,4,9912.821098305063,8736.344321370136
20628,5,9830.334153360362,8386.28766291809
20628,6,9844.725369037642,8386.28766291809
20628,7,9767.31876745665,8386.28766291809
20628,8,9377.923339737063,8071.118940513957
20628,9,8680.932976231823,6936.1557493940045
20628,10,7770.714478723256,6113.9422145475055
20628,11,6850.0608246043585,5036.407297184101
20628,12,6108.135818768002,4751.143669349244
20628,13,5223.817861008465,4327.656248013756
20628,14,4640.718691334427,3803.0876982311183
20628,15,4253.578073379156,3649.8481587536535
20628,16,3876.367381461379,3466.2280964774145
20628,17,3629.810701823828,3286.6785819730003
20628,18,3426.885049808055,3168.236404805279
20628,19,3257.3824636636746,3168.236404805279
20628,20,3168.2364048052787,3168.236404805279
20628,21,3168.2364048052787,3168.236404805279
20628,22,3168.2364048052787,3168.236404805279
20628,23,3168.2364048052787,3168.236404805279
20628,24,3168.2364048052787,3168.236404805279
20628,25,3168.2364048052787,3168.236404805279
20628,26,3168.2364048052787,3168.236404805279
20628,27,3168.2364048052787,3168.236404805279
20628,28,3168.2364048052787,3168.236404805279
20628,29,3168.2364048052787,3168.236404805279
20628,30,3168.2364048052787,3168.236404805279
20628,31,3168.2364048052787,3168.236404805279
20628,32,3168.2364048052787,3168.236404805279
20628,33,3168.2364048052787,3168.236404805279
20628,34,3168.2364048052787,3168.236404805279
20628,35,3168.2364048052787,3168.236404805279
20628,36,3168.2364048052787,3168.236404805279
20628,37,3168.2364048052787,3168.236404805279
20628,38,3168.2364048052787,3168.236404805279
20628,39,3168.2364048052787,3168.236404805279
20628,40,3168.2364048052787,3168.236404805279
20628,41,3168.2364048052787,3168.236404805279
20628,42,3168.2364048052787,3168.236404805279
20628,43,3168.2364048052787,3168.236404805279
20628,44,3168.2364048052787,3168.236404805279
20628,45,3168.2364048052787,3168.236404805279
20628,46,3168.2364048052787,3168.236404805279
20628,47,3168.2364048052787,3168.236404805279
20628,48,3168.2364048052787,3168.236404805279
20628,49,3168.2364048052787,3168.236404805279
9097,0,9867.180933892512,8864.136288018162
9097,1,9915.48619837169,8404.90167959799
9097,2,9835.284408304697,8404.90167959799
9097,3,9801.789988960914,7833.1347546319275
9097,4,9671.09854270543,7709.796475688658
9097,5,8915.366320297711,7345.8962864589685
9097,6,7916.690177321277,6327.35686111428
9097,7,7015.720104139431,5640.459631468266
9097,8,6145.803599185788,5037.597870325318
9097,9,5363.30742690614,3747.9726173298027
9097,10,4500.24895777305,3407.0577850482123
9097,11,3819.9042494288756,2809.3555062742744
9097,12,3247.915843575563,2579.9850979497346
9097,13,2888.4040470972527,2260.725805925481
9097,14,2517.7757223606636,1883.641393532924
9097,15,2168.6681284829556,1820.6272375817082
9097,16,1941.2116637985764,1615.7204722117044
9097,17,1731.9188582111196,1525.2212908406304
9097,18,1590.0419369024319,1525.2212908406304
9097,19,1525.2212908406302,1525.2212908406304
9097,20,1525.2212908406302,1525.2212908406304
9097,21,1525.2212908406302,1525.2212908406304
9097,22,1525.2212908406302,1525.2212908406304
9097,23,1525.2212908406302,1525.2212908406304
9097,24,1525.2212908406302,1525.2212908406304
9097,25,1525.2212908406302,1525.2212908406304
9097,26,1525.2212908406302,1525.2212908406304
