seed,iter,media,mejor
9097,27,1525.2212908406302,1525.2212908406304
9097,28,1525.2212908406302,1525.2212908406304
9097,29,1525.2212908406302,1525.2212908406304
9097,30,1525.2212908406302,1525.2212908406304
9097,31,1525.2212908406302,1525.2212908406304
9097,32,1525.2212908406302,1525.2212908406304
9097,33,1525.2212908406302,1525.2212908406304
9097,34,1525.2212908406302,1525.2212908406304
9097,35,1525.2212908406302,1525.2212908406304
9097,36,1525.2212908406302,1525.2212908406304
9097,37,1525.2212908406302,1525.2212908406304
9097,38,1525.2212908406302,1525.2212908406304
9097,39,1525.2212908406302,1525.2212908406304
9097,40,1525.2212908406302,1525.2212908406304
9097,41,1525.2212908406302,1525.2212908406304
9097,42,1525.2212908406302,1525.2212908406304
9097,43,1525.2212908406302,1525.2212908406304
9097,44,1525.2212908406302,1525.2212908406304
9097,45,1525.2212908406302,1525.2212908406304
9097,46,1525.2212908406302,1525.2212908406304
9097,47,1525.2212908406302,1525.2212908406304
9097,48,1525.2212908406302,1525.2212908406304
9097,49,1525.2212908406302,1525.2212908406304
999,0,9841.705555048693,8721.796973768582
999,1,9942.369810657827,8721.796973768582
999,2,9899.190904192788,8721.796973768582
999,3,9818.374018934253,8721.796973768582
999,4,9448.82097989491,8481.025842739356
999,5,9042.088575462214,7629.655058100623
999,6,8771.12106286489,7629.655058100623
999,7,8398.895089079811,7205.505567686553
999,8,7947.522183406154,6521.11633169562
999,9,7193.516123270172,5653.721277595064
999,10,6099.910918717209,4661.517621017579
999,11,5259.006194731166,3631.3387631183423
999,12,4336.932562021011,3107.1702258870964
999,13,3687.9921540625287,2841.5248460675584
999,14,3079.812942500337,2407.607229559601
999,15,2679.031915113016,2047.4970121628082
999,16,2292.420848386467,2047.4970121628082
999,17,2088.27745698731,2047.4970121628082
999,18,2047.497012162808,2047.4970121628082
999,19,2047.497012162808,2047.4970121628082
999,20,2047.497012162808,2047.4970121628082
999,21,2047.497012162808,2047.4970121628082
999,22,2047.497012162808,2047.4970121628082
999,23,2047.497012162808,2047.4970121628082
999,24,2047.497012162808,2047.4970121628082
999,25,2047.497012162808,2047.4970121628082
999,26,2047.497012162808,2047.4970121628082
999,27,2047.497012162808,2047.4970121628082
999,28,2047.497012162808,2047.4970121628082
999,29,2047.497012162808,2047.4970121628082
999,30,2047.497012162808,2047.4970121628082
999,31,2047.497012162808,2047.4970121628082
999,32,2047.497012162808,2047.4970121628082
999,33,2047.497012162808,2047.4970121628082
999,34,2047.497012162808,2047.4970121628082
999,35,2047.497012162808,2047.4970121628082
999,36,2047.497012162808,2047.4970121628082
999,37,2047.497012162808,2047.4970121628082
999,38,2047.497012162808,2047.4970121628082
999,39,2047.497012162808,2047.4970121628082
999,40,2047.497012162808,2047.4970121628082
999,41,2047.497012162808,2047.4970121628082
999,42,2047.497012162808,2047.4970121628082
999,43,2047.497012162808,2047.4970121628082
999,44,2047.497012162808,2047.4970121628082
999,45,2047.497012162808,2047.4970121628082
999,46,2047.497012162808,2047.4970121628082
999,47,2047.497012162808,2047.4970121628082
999,48,2047.497012162808,2047.4970121628082
999,49,2047.497012162808,2047.4970121628082
